id,slug,type,nom,categorie,description,prix_fcfa,unite,image_url,image_url_2,image_url_3,disponible,ordre,composition,livraison_gratuite,note
"haricots-verts-larroche","haricots-verts-larroche","produit","Haricots verts Larroche 800 g","Conserves","Haricots verts fins et savoureux récoltés dans le Sud-Ouest.",2200,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/haricots-verts-larroche.jpg","","","oui",20,"","non",""
"haricots-blancs-avril","haricots-blancs-avril","produit","Haricots blancs Avril préparés","Conserves","Haricots blancs préparés prêts à cuisiner.",1500,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/haricots-blancs-avril.jpg","","","oui",21,"","non",""
"lentilles-mocitos","lentilles-mocitos","produit","Lentilles Mocitos au naturel","Conserves","Lentilles brunes au naturel.",1500,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/lentilles-mocitos.jpg","","","oui",22,"","non",""
"corn-ginny","corn-ginny-sweet","produit","Maïs doux Ginny","Conserves","Maïs doux Golden Sweet Corn avec une pointe de sel marin.",1800,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/corn-ginny.jpg","","","oui",23,"","non",""
"tomate-tomatina","tomate-tomatina-800","produit","Concentré de tomates Tomatina 800 g","Conserves","Double concentré de tomates pour vos sauces et plats mijotés.",2000,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/tomate-tomatina.jpg","","","oui",24,"","non",""
"tomate-diegboudiar","tomate-diegboudiar","produit","Concentré tomate Dieg Bou Diar 800 g","Conserves","Double concentré de tomates 100% Sénégal.",1900,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/tomate-diegboudiar.jpg","","","oui",25,"","non",""
"cornichons-bonjourne","cornichons-bonjourne","produit","Cornichons Bonjourne 370 ml","Conserves","Cornichons croquants au vinaigre.",2400,"bouteille","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/cornichons-bonjourne.jpg","","","oui",26,"","non",""
"sunquick-fraise","sunquick-fraise-goyave","produit","Sunquick Fraise & Goyave 700 ml","Boissons","Concentré de fruits riche en vitamine C. Se dilue avec de l'eau.",4500,"bouteille","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/sunquick-fraise.jpg","","","oui",30,"","non",""
"lipton-25","lipton-yellow-label-25","produit","Lipton Yellow Label 25 sachets","Boissons","Thé noir Lipton Yellow Label qualité n°1.",1800,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/lipton.jpg","","","oui",31,"","non",""
"moringa-victoria","moringa-victoria-25","produit","Thé Moringa Victoria 25 sachets","Boissons","Tisane de moringa Golden Victoria. 25 sachets individuels.",2500,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/moringa-victoria.jpg","","","oui",32,"","non",""
"moringa-teranga","moringa-teranga-25","produit","Thé Moringa Teranga 25 sachets","Boissons","Moringa Tea Teranga riche en antioxydants.",2200,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/moringa-teranga.jpg","","","oui",33,"","non",""
"nesquik","nesquik-original","produit","Nesquik Original Nestlé","Petit-déjeuner","Cacao en poudre Nesquik original enrichi vitamine D.",3500,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/nesquik.jpg","","","oui",40,"","non",""
"fruity-loops","fruity-loops-cbon","produit","Fruity Loops C'Bon 375 g","Petit-déjeuner","Céréales multigrain sucrées sans colorants ajoutés.",2800,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/fruity-loops.jpg","","","oui",41,"","non",""
"chips-crevette","chips-crevette-cbon","produit","Chips à la crevette C'Bon 170 g","Snacks","Prawn crackers qualité supérieure.",1800,"lot","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/chips-crevette.jpg","","","oui",42,"","non",""
"noodles-noody","noodles-noody-boeuf","produit","Noodles Noody saveur bœuf","Snacks","Nouilles instantanées prêtes en 3 minutes.",500,"lot","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/noodles-noody.jpg","","","oui",43,"","non",""
"paprika","paprika-50g","produit","Paprika Ma-Épices 50 g","Condiments & épices","Paprika 100% naturel.",750,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/paprika.jpg","","","oui",50,"","non",""
"curcuma","curcuma-50g","produit","Curcuma Ma-Épices 50 g","Condiments & épices","Curcuma en poudre 100% naturel.",750,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/curcuma.jpg","","","oui",51,"","non",""
"epices-trio","epices-trio","produit","Trio épices poulet thym ail","Condiments & épices","Lot de 3 pots d'épices : épice poulet thym et ail en poudre.",2000,"lot","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/epices-trio.jpg","","","oui",52,"","non",""
"piment-pathial","piment-pathial","produit","Piment Pathial Sonia extra fort","Condiments & épices","Sauce piment extra fort à utiliser avec parcimonie.",1500,"bouteille","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/piment-pathial.jpg","","","oui",53,"","non",""
"madar-renzo","madar-renzo","produit","Madar Renzo Multi-usage citron","Entretien","Dégraissant rapide 3-en-1 nettoie parfume et désinfecte.",1800,"bouteille","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/madar-renzo.jpg","","","oui",60,"","non",""
"actiff-casa","actiff-casa","produit","Actiff Casa multisurface lavande","Entretien","Détergent multisurface fragrance lavande sans rinçage.",2500,"bouteille","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/actiff-casa.jpg","","","oui",61,"","non",""
"madar-javel","madar-javel","produit","Madar Eau de Javel 1.5 L","Entretien","Eau de javel classique anti-microbes.",1200,"bouteille","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/madar-javel.jpg","","","oui",62,"","non",""
"lave-vitre-noura","lave-vitre-noura","produit","Lave-vitre Noura 500 ml","Entretien","Nettoyant pour vitres brillance éclatante.",1500,"bouteille","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/lave-vitre-noura.jpg","","","oui",63,"","non",""
"orsetto","orsetto-detergent","produit","Orsetto détergent abrasif","Entretien","Détergent en poudre pour surfaces dures désinfectant.",2200,"bouteille","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/orsetto.jpg","","","oui",64,"","non",""
"viande-boeuf","viande-boeuf","produit","Viande de bœuf","Viande fraîche","Viande de bœuf locale en morceaux. Découpée et pesée le jour même.",4400,"kg","https://images.unsplash.com/photo-1607623814075-e51df1bdc82f?w=900&q=80","","","oui",70,"","non",""
"viande-hachee","viande-hachee","produit","Viande hachée","Viande fraîche","Viande de bœuf hachée fraîche locale.",5500,"kg","https://images.unsplash.com/photo-1603048297172-c92544798d5a?w=900&q=80","","","oui",71,"","non",""
"merguez","merguez","produit","Merguez","Viande fraîche","Merguez de bœuf locale épicée prête à griller.",4500,"kg","https://images.unsplash.com/photo-1529692236671-f1f6cf9683ba?w=900&q=80","","","oui",72,"","non",""
"viande-veau","viande-veau","produit","Viande de veau","Viande fraîche","Viande de veau locale tendre pour vos plats mijotés.",4400,"kg","https://images.unsplash.com/photo-1588168333986-5078d3ae3976?w=900&q=80","","","oui",73,"","non",""
"poulet","poulet","produit","Poulet","Viande fraîche","Poulet fermier local frais prêt à cuire.",3600,"pièce","https://images.unsplash.com/photo-1604503468506-a8da13d82791?w=900&q=80","","","oui",74,"","non",""
"agneau","agneau","produit","Agneau","Viande fraîche","Agneau local idéal pour mafé yassa et grillades.",5800,"kg","https://images.unsplash.com/photo-1594041680534-e8c8cdebd659?w=900&q=80","","","oui",75,"","non",""
"filet-boeuf","filet-boeuf","produit","Filet de bœuf","Viande fraîche","Filet de bœuf local la pièce la plus tendre.",7000,"kg","https://images.unsplash.com/photo-1588168333986-5078d3ae3976?w=900&q=80","","","oui",76,"","non",""
"foie-boeuf","foie-boeuf","produit","Foie de bœuf","Viande fraîche","Foie de bœuf frais local.",4000,"kg","https://images.unsplash.com/photo-1602491453631-e2a5ad90a131?w=900&q=80","","","oui",77,"","non",""
"foie-agneau","foie-agneau","produit","Foie d'agneau","Viande fraîche","Foie d'agneau frais local plus tendre que le bœuf.",4000,"kg","https://images.unsplash.com/photo-1602491453631-e2a5ad90a131?w=900&q=80","","","oui",78,"","non",""
"yell","yell","produit","Yell (langue de bœuf)","Viande fraîche","Langue de bœuf locale à mijoter longuement.",4000,"kg","https://images.unsplash.com/photo-1607623814075-e51df1bdc82f?w=900&q=80","","","oui",79,"","non",""
"oignons-sac","oignons-sac","produit","Sac d'oignons frais","Produits frais","Sac d'oignons frais d'environ 5 kg.",2500,"sac","https://images.unsplash.com/photo-1620574387735-3624d75b2dbb?w=900&q=80","","","oui",80,"","non",""
"pommes-terre","pommes-terre-5kg","produit","Pommes de terre 5 kg","Produits frais","Pommes de terre fraîches en sac de 5 kg.",3500,"sac","https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=900&q=80","","","oui",81,"","non",""
